0 -1 2e-26 0.01 1 1 0.0130215
81 61
nH T Edot YT YHI YHeI YHeII Ye E
1.33352e-05 17782.8 3.92868e-34 1.64269 0.000139838 1.0742e-06 0.00268688 0.852477 3.61467e+12
1.33352e-05 23713.7 -9.12563e-34 1.64318 0.000112069 7.34845e-07 0.00222008 0.852972 4.82169e+12
1.33352e-05 31622.8 -3.48727e-33 1.6436 8.69588e-05 5.00177e-07 0.00182668 0.853391 6.43147e+12
1.33352e-05 42169.7 -7.91657e-33 1.64396 6.15194e-05 3.42428e-07 0.00149643 0.853747 8.57836e+12
1.33352e-05 56234.1 -1.47602e-32 1.64426 3.7079e-05 2.70139e-07 0.00121918 0.854049 1.14415e+13
1.33352e-05 74989.4 -2.41747e-32 1.64452 1.93294e-05 3.23696e-07 0.000975311 0.854311 1.52599e+13
1.33352e-05 100000 -3.56132e-32 1.6448 9.55384e-06 3.98561e-07 0.000708868 0.854587 2.03529e+13
1.33352e-05 133352 -4.67123e-32 1.64512 4.83046e-06 2.79503e-07 0.000389685 0.854911 2.71463e+13
1.33352e-05 177828 -5.30926e-32 1.64535 2.57878e-06 1.0912e-07 0.000157644 0.855145 3.62054e+13
1.33352e-05 237137 -4.79595e-32 1.64545 1.46131e-06 3.30739e-08 5.90962e-05 0.855245 4.82836e+13
1.33352e-05 316228 -3.4031e-32 1.64549 8.74539e-07 9.78986e-09 2.39956e-05 0.855281 6.43886e+13
1.33352e-05 421697 -2.90526e-32 1.6455 5.48421e-07 3.05789e-09 1.09168e-05 0.855294 8.58643e+13
1.33352e-05 562341 -2.70786e-32 1.64551 3.5755e-07 1.02457e-09 5.5085e-06 0.8553 1.14502e+14
1.33352e-05 749894 -2.53673e-32 1.64551 2.40663e-07 3.67658e-10 3.02566e-06 0.855303 1.52691e+14
1.33352e-05 1e+06 -2.61549e-32 1.64551 1.6623e-07 1.40442e-10 1.77781e-06 0.855304 2.03617e+14
1.33352e-05 1.33352e+06 -2.29226e-32 1.64551 1.17221e-07 5.67223e-11 1.10165e-06 0.855305 2.71528e+14
1.33352e-05 1.77828e+06 -1.60112e-32 1.64551 8.40204e-08 2.40636e-11 7.11889e-07 0.855305 3.62089e+14
1.33352e-05 2.37137e+06 -9.37347e-33 1.64551 6.09839e-08 1.06558e-11 4.75502e-07 0.855305 4.82854e+14
1.33352e-05 3.16228e+06 -6.29535e-33 1.64552 4.46794e-08 4.89548e-12 3.25983e-07 0.855306 6.43896e+14
1.33352e-05 4.21697e+06 -4.74203e-33 1.64552 3.29532e-08 2.31982e-12 2.28055e-07 0.855306 8.58649e+14
1.33352e-05 5.62341e+06 -4.16736e-33 1.64552 2.44137e-08 1.12756e-12 1.62033e-07 0.855306 1.14503e+15
1.33352e-05 7.49894e+06 -4.18695e-33 1.64552 1.81374e-08 5.59234e-13 1.16451e-07 0.855306 1.52692e+15
1.33352e-05 1e+07 -4.58274e-33 1.64552 1.34948e-08 2.81708e-13 8.43699e-08 0.855306 2.03618e+15
1.33352e-05 1.33352e+07 -4.94417e-33 1.64552 1.00471e-08 1.43557e-13 6.14506e-08 0.855306 2.71529e+15
1.33352e-05 1.77828e+07 -5.19494e-33 1.64552 7.48132e-09 1e-13 4.4894e-08 0.855306 3.62089e+15
1.33352e-05 2.37137e+07 -5.70326e-33 1.64552 5.57028e-09 1e-13 3.28427e-08 0.855306 4.82854e+15
1.33352e-05 3.16228e+07 -6.59431e-33 1.64552 4.1468e-09 1e-13 2.40307e-08 0.855306 6.43896e+15
1.33352e-05 4.21697e+07 -7.88486e-33 1.64552 3.08664e-09 1e-13 1.75736e-08 0.855306 8.58649e+15
1.33352e-05 5.62341e+07 -9.60985e-33 1.64552 2.29708e-09 1e-13 1.28406e-08 0.855306 1.14503e+16
1.33352e-05 7.49894e+07 -1.1863e-32 1.64552 1.70879e-09 1e-13 9.37414e-09 0.855306 1.52692e+16
1.33352e-05 1e+08 -1.47711e-32 1.64552 1.27009e-09 1e-13 6.83868e-09 0.855306 2.03618e+16
1.33352e-05 1.33352e+08 -1.85317e-32 1.64552 9.42546e-10 1e-13 4.98657e-09 0.855306 2.71529e+16
1.33352e-05 1.77828e+08 -2.33983e-32 1.64552 6.97729e-10 1e-13 3.6349e-09 0.855306 3.62089e+16
1.33352e-05 2.37137e+08 -2.97277e-32 1.64552 5.14675e-10 1e-13 2.6488e-09 0.855306 4.82854e+16
1.33352e-05 3.16228e+08 -3.79906e-32 1.64552 3.77949e-10 1e-13 1.92933e-09 0.855306 6.43896e+16
1.77828e-05 10 6.23683e-31 1.42752 0.1 0.059 3.84434e-09 0.637306 1.76642e+09
1.77828e-05 13.3352 1.0095e-31 1.57115 0.0175898 0.00235656 0.0520659 0.780937 2.59257e+09
1.77828e-05 17.7828 8.91521e-32 1.57579 0.0149825 0.00195977 0.0508209 0.785583 3.46747e+09
1.77828e-05 23.7137 7.87597e-32 1.58021 0.0127347 0.00161554 0.0493419 0.789998 4.6369e+09
